index,cve,type,date
350,cve-2016-3370,,
351,cve-2016-3374,,
352,cve-2016-4142,,
353,cve-2016-4143,,
354,cve-2016-4146,,
355,cve-2016-4147,,
356,cve-2016-4231,,
357,cve-2016-4273,,
358,cve-2016-6941,,
359,cve-2016-6946,,
360,cve-2016-6954,,
361,cve-2016-6957,,
362,cve-2016-6960,,
363,cve-2016-6981,,
364,cve-2016-6986,,
365,cve-2016-7867,,
366,cve-2016-7868,,
367,cve-2016-7869,,
368,cve-2016-7870,,
369,cve-2016-7873,,
370,cve-2016-7878,,
371,cve-2017-0106,,
372,cve-2017-0155,,
373,cve-2017-0167,,
374,cve-2017-0189,,
375,cve-2017-0199,,
376,cve-2017-0200,,
377,cve-2017-0227,,
378,cve-2017-0228,,
379,cve-2017-0236,,
380,cve-2017-0238,,
381,cve-2017-0240,,
382,cve-2017-2967,,
383,cve-2017-2997,,
384,cve-2017-2998,,
385,cve-2017-2999,,
386,cve-2017-3001,,
387,cve-2017-3002,,
388,cve-2017-3003,,
389,cve-2017-3036,,
390,cve-2017-3055,,
391,cve-2017-3056,,
392,cve-2017-3057,,
393,cve-2017-3062,,
394,cve-2017-3063,,
395,cve-2017-3069,,
396,cve-2017-3070,,
397,cve-2017-3071,,
398,cve-2017-3072,,
399,cve-2017-3073,,
400,cve-2017-3074,,
401,cve-2017-5689,,
402,cve-2016-0752,,
403,cve-2011-1565,,
404,cve-2011-1565,,
405,cve-2013-0658,,
406,cve-2011-2595,,
407,cve-2013-0460,,
408,cve-2011-0611,,
409,cve-2009-4195,,
410,cve-2007-5020,,
411,cve-2012-2052,,
412,cve-2010-3653,,
413,cve-2015-2092,,
414,cve-2013-4978,,
415,cve-2011-3976,,
416,cve-2006-3747,,
417,cve-2011-3923,,
418,cve-2013-1966,,
419,cve-2013-2251,,
420,cve-2013-2251,,
421,cve-2013-2251,,
422,cve-2016-3087,,
423,cve-2017-5638,,
424,cve-2012-0391,,
425,cve-2010-1870,,
426,cve-2011-0257,,
427,cve-2012-0667,,
428,cve-2012-1153,,
429,cve-2013-2576,,
430,cve-2013-3481,,
431,cve-2012-4924,,
432,cve-2014-9583,,
433,cve-2009-0476,,
434,cve-2009-3577,,
435,cve-2011-1213,,
436,cve-2012-3811,,
437,cve-2011-4496,,
438,cve-2011-3492,,
439,cve-2015-5477,,
440,cve-2008-0311,,
441,cve-2009-1667,,
442,cve-2013-3928,,
443,cve-2011-3011,,
444,cve-2005-0583,,
445,cve-2005-2668,,
446,cve-2013-3248,,
447,cve-2012-0270,,
448,cve-2016-6433,,
449,cve-2016-6435,,
450,cve-2014-2072,,
451,cve-2009-3429,,
452,cve-2009-4656,,
453,cve-2009-4656,,
454,cve-2016-2776,,
455,cve-2017-3143,,
456,cve-2007-3068,,
457,cve-2012-5357,,
458,cve-2012-5357,,
459,cve-2013-0928,,
460,cve-2012-2288,,
461,cve-2012-2288,,
462,cve-2010-0103,,
463,cve-2011-5227,,
464,cve-2013-0726,,
465,cve-2013-0726,,
466,cve-2013-3482,,
467,cve-2013-3482,,
468,cve-2011-3494,,
469,cve-2011-1336,,
470,cve-2015-0235,,
471,cve-2009-4962,,
472,cve-2007-5243,,
473,cve-2008-0387,,
474,cve-2012-2763,,
475,cve-2012-0209,,
476,cve-2014-2623,,
477,cve-2010-3007,,
478,cve-2012-0122,,
479,cve-2012-0124,,
480,cve-2013-2347,,
481,cve-2013-6194,,
482,cve-2012-5201,,
483,cve-2012-5202,,
484,cve-2012-5204,,
485,cve-2014-2624,,
486,cve-2011-0271,,
487,cve-2011-3167,,
488,cve-2008-1697,,
489,cve-2011-0267,,
490,cve-2008-0067,,
491,cve-2001-0311,,
492,cve-2011-1865,,
493,cve-2011-1866,,
494,cve-2015-1497,,
495,cve-2009-2685,,
496,cve-2009-3999,,
497,cve-2017-2741,,
