CVE,Website Name,Disclosed Date
CVE-2012-0002,Rapid7,2012-03-16
CVE-2012-0003,Rapid7,2012-01-10
CVE-2011-0049,Rapid7,2011-03-08
MS13-080,Rapid7,2013-09-17
CVE-2014-0514,Rapid7,2014-04-13
CVE-1999-0103,Rapid7,1996-02-08
CVE-2012-0779,Rapid7,2012-05-04
CVE-2004-2691,Rapid7,2004-06-24
CVE-2013-5211,Rapid7,
CVE-2013-5211,Rapid7,2014-08-25
CVE-2011-3544,Rapid7,2011-10-18
MS11-081,Rapid7,2012-10-11
MS11-080,Rapid7,2011-11-30
MS12-063,Rapid7,
CVE-2010-2883,Rapid7,2010-09-07
CVE-2017-8779,Rapid7,
CVE-2014-3936,Rapid7,2014-05-15
CVE-2014-3153,Rapid7,2014-05-03
CVE-2007-6166,Rapid7,2007-11-23
CVE-2013-3660,Rapid7,2013-05-15
MS14-068,Rapid7,2014-11-18
CVE-2013-1493,Rapid7,2013-03-01
MS14-062,Rapid7,2014-07-18
MS14-060,Rapid7,2014-10-14
CVE-2016-9079,Rapid7,2016-11-30
CVE-2012-1875,Rapid7,2012-06-12
CVE-2014-0050,Rapid7,2014-02-06
CVE-2015-3864,Rapid7,2015-08-13
CVE-2007-2447,Rapid7,2007-05-14
CVE-2006-5614,Rapid7,2006-10-26
CVE-2014-3704,Rapid7,2014-10-15
CVE-2006-2630,Rapid7,2006-05-24
CVE-2014-1510,Rapid7,2014-03-17
CVE-2015-3105,Rapid7,2015-05-12
MS13-059,Rapid7,2013-06-27
CVE-2013-6282,Rapid7,2013-09-06
CVE-2014-0476,Rapid7,2014-06-04
CVE-2017-8464,Rapid7,2017-06-13
CVE-2013-0758,Rapid7,2013-01-08
CVE-2013-0753,Rapid7,2013-01-08
CVE-2017-6048,Rapid7,2017-04-07
CVE-2013-5065,Rapid7,2013-11-27
CVE-2014-0983,Rapid7,2014-03-11
CVE-2014-8440,Rapid7,2014-11-11
CVE-2009-1136,Rapid7,2009-07-13
CVE-2017-1092,Rapid7,2017-05-30
CVE-2015-1486,Rapid7,2015-07-31
CVE-2014-8684,Rapid7,2015-03-01
CVE-2011-4404,Rapid7,2011-11-21
CVE-2014-1649,Rapid7,2014-05-12
CVE-2010-2729,Rapid7,2010-09-14
CVE-2010-1964,Rapid7,2010-06-16
MS10-002,Rapid7,2010-01-14
MS15-134,Rapid7,2015-12-08
MS13-055,Rapid7,2013-07-09
MS15-034,Rapid7,
CVE-2016-6366,Rapid7,
CVE-2008-1447,Rapid7,2008-07-21
CVE-2013-3238,Rapid7,2013-04-25
CVE-2007-1748,Rapid7,2007-04-12
CVE-2013-1690,Rapid7,2013-06-25
CVE-2014-6041,Rapid7,
MS11-021,Rapid7,2011-08-09
CVE-2011-2371,Rapid7,2011-06-21
CVE-2008-3008,Rapid7,2008-09-09
CVE-2014-9566,Rapid7,2015-02-24
CVE-2010-4344,Rapid7,2010-12-07
CVE-2017-8291,Rapid7,2017-04-27
CVE-2014-9312,Rapid7,2014-11-11
MS10-090,Rapid7,2010-11-03
MS12-037,Rapid7,2012-06-12
CVE-2013-7331,Rapid7,2014-09-09
CVE-2012-4792,Rapid7,2012-12-27
CVE-2014-0784,Rapid7,2014-03-10
CVE-2010-0425,Rapid7,2010-03-05
CVE-2014-8791,Rapid7,2014-11-27
CVE-2014-8799,Rapid7,
CVE-2003-0727,Rapid7,2003-08-18
MS08-078,Rapid7,2008-12-07
CVE-2003-0352,Rapid7,2003-07-16
CVE-2008-4114,Rapid7,
CVE-2012-1675,Rapid7,2012-04-18
CVE-2012-6636,Rapid7,2012-12-21
CVE-2009-3867,Rapid7,2009-11-04
CVE-2014-0160,Rapid7,2014-04-07
CVE-2010-0886,Rapid7,2012-02-14
CVE-2014-5460,Rapid7,2014-08-28
CVE-2014-0497,Rapid7,2014-02-05
CVE-2006-5276,Rapid7,2007-02-19
CVE-2012-2329,Rapid7,2012-05-08
CVE-2011-0257,Rapid7,2011-08-08
CVE-2014-4880,Rapid7,2014-11-19
CVE-2015-3090,Rapid7,2015-05-12
CVE-2013-1347,Rapid7,2013-05-03
CVE-2015-1328,Rapid7,2015-06-16
CVE-2011-1260,Rapid7,2011-06-16
CVE-2015-1130,Rapid7,2015-04-09
CVE-2014-1761,Rapid7,2014-04-01
CVE-2016-0051,Rapid7,2016-02-09
CVE-2015-1427,Rapid7,2015-02-11
CVE-2010-1885,Rapid7,2010-06-09
CVE-2016-0752,Rapid7,2016-10-16
CVE-2017-8895,Rapid7,2017-05-10
CVE-2012-5687,Rapid7,
CVE-2015-0359,Rapid7,2014-04-14
MS15-078,Rapid7,2015-07-11
CVE-2009-3103,Rapid7,
CVE-2009-3103,Rapid7,2009-09-07
CVE-2012-0158,Rapid7,2012-04-10
CVE-2007-3901,Rapid7,2007-12-11
CVE-2013-7091,Rapid7,2013-12-06
CVE-2014-7228,Rapid7,2014-09-29
CVE-2007-5659,Rapid7,2008-02-08
CVE-2013-2115,Rapid7,2013-05-24
CVE-2006-1359,Rapid7,2006-03-19
CVE-1999-0506,Rapid7,
CVE-1999-0504,Rapid7,
CVE-1999-0504,Rapid7,1999-01-01
CVE-1999-0502,Rapid7,
CVE-1999-0502,Rapid7,1999-01-01
MS13-096,Rapid7,2013-11-05
CVE-2006-3439,Rapid7,2006-08-08
CVE-2012-0663,Rapid7,2012-05-15
CVE-2017-6334,Rapid7,2017-02-25
CVE-2013-0025,Rapid7,2013-02-13
CVE-2012-1723,Rapid7,2012-06-06
