cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2009-3551,,,2009-10-30,f
cve-2009-3855,,,2009-11-04,f
cve-2009-3766,,,2009-10-23,f
cve-2011-3484,,,2011-09-20,f
cve-2013-5569,,,2013-08-23,f
cve-2012-1893,,,2012-07-10,f
cve-2010-1023,,,2010-03-19,f
cve-2010-3186,,,2010-08-30,f
cve-2010-3231,,,2010-10-13,f
cve-2010-0268,2010-04-13,,2010-04-14,f
cve-2010-5319,,,2015-01-03,f
cve-2013-3509,,,2013-05-08,f
cve-2010-3523,,,2010-10-14,f
cve-2010-3550,,,2010-10-19,f
cve-2010-3556,,,2010-10-19,f
cve-2010-3657,,,2010-10-06,f
cve-2013-3469,,,2013-09-03,f
cve-2014-10019,,,2015-01-13,t
cve-2010-0118,,,2010-02-24,f
cve-2013-6411,,,2013-12-14,f
cve-2009-3934,,,2009-11-12,f
cve-2014-0664,,,2014-01-10,f
cve-2013-4052,,,2013-09-20,f
cve-2013-1221,,,2013-05-09,f
cve-2014-6784,,,2014-09-28,f
cve-2014-8887,,,2015-06-07,f
cve-2009-2690,,,2009-08-10,f
cve-2010-2035,,2010-05-19,2010-05-25,f
cve-2013-0841,,,2013-01-24,f
cve-2014-6919,,,2014-10-04,f
cve-2009-3507,,,2009-10-01,f
cve-2009-0974,,,2009-04-15,f
cve-2013-3048,,,2013-10-01,f
cve-2013-3472,,,2013-08-29,f
cve-2010-1660,,2010-04-27,2010-04-30,t
cve-2010-3809,,,2010-11-20,f
cve-2009-0179,,,2009-01-20,f
cve-2013-5996,,,2013-11-20,f
cve-2010-3824,,,2010-11-20,f
cve-2012-5297,,,2012-10-04,f
cve-2010-5146,,,2012-08-23,f
cve-2014-3563,,,2014-08-22,f
cve-2010-3097,,,2010-08-20,f
cve-2015-7681,,,2016-02-10,f
cve-2013-5034,,,2014-01-12,f
cve-2010-4083,,,2010-11-30,f
cve-2010-4346,,,2010-12-22,f
cve-2010-4352,,,2010-12-30,f
cve-2009-0069,,,2009-01-07,f
cve-2010-4374,,,2010-12-02,f
cve-2010-4375,2010-12-10,,2010-12-14,f
cve-2010-4389,2010-12-10,,2010-12-14,f
cve-2010-4518,,2010-12-08,2010-12-09,f
cve-2010-4521,,,2010-12-23,f
cve-2009-4599,,,2010-01-12,t
cve-2009-3580,,,2009-12-23,f
cve-2009-4813,,2009-12-24,2010-04-27,t
cve-2010-0945,,,2010-03-08,t
cve-2010-4578,,,2010-12-21,f
cve-2013-3485,,,2013-08-30,f
cve-2009-4845,,,2010-05-07,f
cve-2009-4779,,2009-11-24,2010-04-21,t
cve-2013-5100,,,2013-08-09,f
cve-2010-0074,,,2010-01-12,f
cve-2010-0459,,,2010-01-28,t
cve-2015-0099,2015-03-10,,2015-03-11,f
cve-2009-0077,,,2009-04-14,f
cve-2013-5724,,,2013-09-11,f
cve-2010-0671,,2010-02-16,2010-02-22,t
cve-2009-0099,,,2009-02-10,f
cve-2009-0287,,,2009-01-27,f
cve-2009-0153,,,2009-05-13,f
cve-2009-0980,,,2009-04-15,f
cve-2010-2032,,2010-05-19,2010-05-24,f
cve-2011-0643,,,2011-01-25,t
cve-2017-6340,,,2017-04-05,f
cve-2009-4585,,2009-12-30,2010-01-06,t
cve-2010-1542,,,2010-04-26,f
cve-2010-2547,,,2010-08-05,f
cve-2013-3524,,2013-04-15,2013-05-10,t
cve-2010-0375,,,2010-01-21,t
cve-2010-1341,,2010-03-13,2010-04-09,t
cve-2010-2004,,2010-01-15,2010-05-20,t
cve-2009-2863,,,2009-09-28,f
cve-2010-2457,,,2010-06-25,t
cve-2010-3855,,,2010-11-26,f
cve-2013-3544,,,2013-08-09,f
cve-2016-4895,,,2017-04-12,f
cve-2009-0608,,,2009-02-17,f
cve-2015-8571,2015-12-08,,2015-12-15,f
cve-2009-0478,,2009-02-09,2009-02-08,f
cve-2012-5595,,,2012-12-05,f
cve-2010-0944,,2010-01-10,2010-03-08,t
cve-2010-0971,,2010-03-11,2010-03-16,t
cve-2010-1306,,2010-04-04,2010-04-08,t
cve-2010-1925,,2010-05-10,2010-05-12,t
cve-2010-2089,,2010-06-14,2010-05-27,f
cve-2010-1797,,2010-08-03,2010-08-16,t
cve-2009-0733,,,2009-03-23,f
cve-2010-4639,,,2010-12-30,t
cve-2009-4228,,,2009-12-08,f
cve-2010-1540,,2010-03-03,2010-04-26,t
cve-2010-3765,,2010-10-28,2010-10-27,t
cve-2010-0418,,,2010-03-09,f
cve-2010-1981,,2010-04-06,2010-05-19,t
cve-2009-0284,,2009-01-25,2009-01-27,f
cve-2013-3578,,,2013-07-15,f
cve-2009-2189,,,2010-12-21,f
cve-2009-0749,,,2009-03-02,f
cve-2009-4443,,,2009-12-28,f
cve-2013-0074,,,2013-03-12,f
cve-2013-0641,,,2013-02-13,f
cve-2009-4824,,,2010-04-27,f
cve-2015-4259,,,2015-07-10,f
cve-2010-0221,,,2010-01-07,f
cve-2010-0257,,,2010-03-10,f
cve-2013-4031,,,2013-08-09,f
cve-2015-5648,,,2015-10-10,f
cve-2009-0847,,,2009-04-08,f
cve-2010-0030,,,2010-02-10,f
cve-2010-0037,,,2010-01-20,f
cve-2010-4143,,,2010-11-01,t
cve-2010-0067,,,2010-01-12,f
cve-2012-6634,,,2014-01-20,f
cve-2010-0270,,,2010-04-14,f
cve-2010-0560,,,2010-02-08,f
cve-2010-1260,,,2010-06-08,f
cve-2010-1389,,,2010-06-11,f
cve-2009-0996,,,2009-04-15,f
cve-2009-4331,,,2009-12-16,f
cve-2010-1390,,,2010-06-11,f
cve-2010-1396,2010-06-08,,2010-06-11,f
cve-2010-0182,,,2010-04-05,f
cve-2010-1267,,,2010-04-06,t
cve-2010-3570,,,2010-10-19,f
cve-2017-6396,,,2017-03-02,f
cve-2015-7410,,,2015-12-31,f
cve-2010-1771,,,2010-06-11,f
cve-2013-0004,,,2013-01-09,f
cve-2009-1135,,,2009-07-15,f
cve-2010-2179,,,2010-06-15,f
cve-2010-2189,,,2010-06-15,f
cve-2013-0404,,,2013-04-17,f
cve-2010-2649,,,2010-07-06,f
cve-2010-2665,,,2010-07-07,f
cve-2010-2765,,,2010-09-09,f
cve-2010-2839,,,2010-08-26,f
cve-2009-1341,,,2009-04-30,f
cve-2009-1412,,,2009-04-24,f
cve-2011-1333,,,2011-06-29,f
cve-2010-2862,,2010-08-14,2010-08-05,f
cve-2010-2937,,,2010-08-20,f
cve-2010-1254,,,2010-06-08,f
