cve,assign_date,edb_date,date_diff
CVE-2015-0521,2014-12-17,,
CVE-2015-0522,2014-12-17,,
CVE-2015-0523,2014-12-17,,
CVE-2015-0524,2014-12-17,,
CVE-2015-0525,2014-12-17,,
CVE-2015-0526,2014-12-17,,
CVE-2015-0527,2014-12-17,,
CVE-2015-0528,2014-12-17,,
CVE-2015-0529,2014-12-17,,
CVE-2015-0530,2014-12-17,,
CVE-2015-0531,2014-12-17,,
CVE-2015-0532,2014-12-17,,
CVE-2015-0533,2014-12-17,,
CVE-2015-0534,2014-12-17,,
CVE-2015-0535,2014-12-17,,
CVE-2015-0536,2014-12-17,,
CVE-2015-0537,2014-12-17,,
CVE-2015-0538,2014-12-17,,
CVE-2015-0540,2014-12-17,,
CVE-2015-0541,2014-12-17,,
CVE-2015-0542,2014-12-17,,
CVE-2015-0543,2014-12-17,,
CVE-2015-0544,2014-12-17,,
CVE-2015-0545,2014-12-17,,
CVE-2015-0546,2014-12-17,,
CVE-2015-0547,2014-12-17,,
CVE-2015-0548,2014-12-17,,
CVE-2015-0549,2014-12-17,,
CVE-2015-0550,2014-12-17,,
CVE-2015-0551,2014-12-17,,
CVE-2015-0552,2015-01-05,,
CVE-2015-0553,2015-01-05,,
CVE-2015-0554,2015-01-05,,
CVE-2015-0555,2015-01-05,,
CVE-2015-0556,2015-01-05,,
CVE-2015-0557,2015-01-05,,
CVE-2015-0559,2015-01-06,,
CVE-2015-0560,2015-01-06,,
CVE-2015-0561,2015-01-06,,
CVE-2015-0562,2015-01-06,,
CVE-2015-0563,2015-01-06,,
CVE-2015-0564,2015-01-06,,
CVE-2015-0568,2015-01-07,,
CVE-2015-0569,2015-01-07,,
CVE-2015-0570,2015-01-07,,
CVE-2015-0571,2015-01-07,,
CVE-2015-0572,2015-01-07,,
CVE-2015-0573,2015-01-07,,
CVE-2015-0577,2015-01-07,,
CVE-2015-0578,2015-01-07,,
CVE-2015-0579,2015-01-07,,
CVE-2015-0580,2015-01-07,,
CVE-2015-0581,2015-01-07,,
CVE-2015-0582,2015-01-07,,
CVE-2015-0583,2015-01-07,,
CVE-2015-0584,2015-01-07,,
CVE-2015-0586,2015-01-07,,
CVE-2015-0588,2015-01-07,,
CVE-2015-0589,2015-01-07,,
CVE-2015-0590,2015-01-07,,
CVE-2015-0591,2015-01-07,,
CVE-2015-0592,2015-01-07,,
CVE-2015-0593,2015-01-07,,
CVE-2015-0594,2015-01-07,,
CVE-2015-0595,2015-01-07,,
CVE-2015-0596,2015-01-07,,
CVE-2015-0597,2015-01-07,,
CVE-2015-0598,2015-01-07,,
CVE-2015-0599,2015-01-07,,
CVE-2015-0600,2015-01-07,,
CVE-2015-0601,2015-01-07,,
CVE-2015-0602,2015-01-07,,
CVE-2015-0603,2015-01-07,,
CVE-2015-0604,2015-01-07,,
CVE-2015-0605,2015-01-07,,
CVE-2015-0606,2015-01-07,,
CVE-2015-0607,2015-01-07,,
CVE-2015-0608,2015-01-07,,
CVE-2015-0609,2015-01-07,,
CVE-2015-0610,2015-01-07,,
CVE-2015-0611,2015-01-07,,
CVE-2015-0612,2015-01-07,,
CVE-2015-0613,2015-01-07,,
CVE-2015-0614,2015-01-07,,
CVE-2015-0615,2015-01-07,,
CVE-2015-0616,2015-01-07,,
CVE-2015-0617,2015-01-07,,
CVE-2015-0618,2015-01-07,,
CVE-2015-0619,2015-01-07,,
CVE-2015-0620,2015-01-07,,
CVE-2015-0621,2015-01-07,,
CVE-2015-0622,2015-01-07,,
CVE-2015-0623,2015-01-07,,
CVE-2015-0624,2015-01-07,,
CVE-2015-0626,2015-01-07,,
CVE-2015-0628,2015-01-07,,
CVE-2015-0631,2015-01-07,,
CVE-2015-0632,2015-01-07,,
CVE-2015-0633,2015-01-07,,
CVE-2015-0634,2015-01-07,,
CVE-2015-0635,2015-01-07,,
CVE-2015-0636,2015-01-07,,
CVE-2015-0637,2015-01-07,,
CVE-2015-0638,2015-01-07,,
CVE-2015-0639,2015-01-07,,
CVE-2015-0640,2015-01-07,,
CVE-2015-0641,2015-01-07,,
CVE-2015-0642,2015-01-07,,
CVE-2015-0643,2015-01-07,,
CVE-2015-0644,2015-01-07,,
CVE-2015-0645,2015-01-07,,
CVE-2015-0646,2015-01-07,,
CVE-2015-0647,2015-01-07,,
CVE-2015-0648,2015-01-07,,
