cve,assign_date,published_date,date_diff
CVE-2015-0311,12/1/2014,1/23/2015,53
CVE-2015-0312,12/1/2014,1/28/2015,58
CVE-2015-0313,12/1/2014,2/2/2015,63
CVE-2015-0314,12/1/2014,2/5/2015,66
CVE-2015-0315,12/1/2014,2/5/2015,66
CVE-2015-0316,12/1/2014,2/5/2015,66
CVE-2015-0317,12/1/2014,2/5/2015,66
CVE-2015-0318,12/1/2014,2/5/2015,66
CVE-2015-0319,12/1/2014,2/5/2015,66
CVE-2015-0320,12/1/2014,2/5/2015,66
CVE-2015-0321,12/1/2014,2/5/2015,66
CVE-2015-0322,12/1/2014,2/5/2015,66
CVE-2015-0323,12/1/2014,2/5/2015,66
CVE-2015-0324,12/1/2014,2/5/2015,66
CVE-2015-0325,12/1/2014,2/5/2015,66
CVE-2015-0326,12/1/2014,2/5/2015,66
CVE-2015-0327,12/1/2014,2/5/2015,66
CVE-2015-0328,12/1/2014,2/5/2015,66
CVE-2015-0329,12/1/2014,2/5/2015,66
CVE-2015-0330,12/1/2014,2/5/2015,66
CVE-2015-0331,12/1/2014,2/21/2015,82
CVE-2015-0332,12/1/2014,3/13/2015,102
CVE-2015-0333,12/1/2014,3/13/2015,102
CVE-2015-0334,12/1/2014,3/13/2015,102
CVE-2015-0335,12/1/2014,3/13/2015,102
CVE-2015-0336,12/1/2014,3/13/2015,102
CVE-2015-0337,12/1/2014,3/13/2015,102
CVE-2015-0338,12/1/2014,3/13/2015,102
CVE-2015-0339,12/1/2014,3/13/2015,102
CVE-2015-0340,12/1/2014,3/13/2015,102
CVE-2015-0341,12/1/2014,3/13/2015,102
CVE-2015-0342,12/1/2014,3/13/2015,102
CVE-2015-0343,12/1/2014,6/13/2015,194
CVE-2015-0344,12/1/2014,6/13/2015,194
CVE-2015-0345,12/1/2014,4/15/2015,135
CVE-2015-0346,12/1/2014,4/14/2015,134
CVE-2015-0347,12/1/2014,4/14/2015,134
CVE-2015-0348,12/1/2014,4/14/2015,134
CVE-2015-0349,12/1/2014,4/14/2015,134
CVE-2015-0350,12/1/2014,4/14/2015,134
CVE-2015-0351,12/1/2014,4/14/2015,134
CVE-2015-0352,12/1/2014,4/14/2015,134
CVE-2015-0353,12/1/2014,4/14/2015,134
CVE-2015-0354,12/1/2014,4/14/2015,134
CVE-2015-0355,12/1/2014,4/14/2015,134
CVE-2015-0356,12/1/2014,4/14/2015,134
CVE-2015-0357,12/1/2014,4/14/2015,134
CVE-2015-0358,12/1/2014,4/14/2015,134
CVE-2015-0359,12/1/2014,4/14/2015,134
CVE-2015-0360,12/1/2014,4/14/2015,134
CVE-2015-0361,12/17/2014,1/7/2015,21
CVE-2015-0362,12/17/2014,1/21/2015,35
CVE-2015-0363,12/17/2014,1/21/2015,35
CVE-2015-0364,12/17/2014,1/21/2015,35
CVE-2015-0365,12/17/2014,1/21/2015,35
CVE-2015-0366,12/17/2014,1/21/2015,35
CVE-2015-0367,12/17/2014,1/21/2015,35
CVE-2015-0368,12/17/2014,1/21/2015,35
CVE-2015-0369,12/17/2014,1/21/2015,35
CVE-2015-0370,12/17/2014,1/21/2015,35
CVE-2015-0371,12/17/2014,1/21/2015,35
CVE-2015-0372,12/17/2014,1/21/2015,35
CVE-2015-0373,12/17/2014,1/21/2015,35
CVE-2015-0374,12/17/2014,1/21/2015,35
CVE-2015-0375,12/17/2014,1/21/2015,35
CVE-2015-0376,12/17/2014,1/21/2015,35
CVE-2015-0377,12/17/2014,1/21/2015,35
CVE-2015-0378,12/17/2014,1/21/2015,35
CVE-2015-0379,12/17/2014,1/21/2015,35
CVE-2015-0380,12/17/2014,1/21/2015,35
CVE-2015-0381,12/17/2014,1/21/2015,35
CVE-2015-0382,12/17/2014,1/21/2015,35
CVE-2015-0383,12/17/2014,1/21/2015,35
CVE-2015-0384,12/17/2014,1/21/2015,35
CVE-2015-0385,12/17/2014,1/21/2015,35
CVE-2015-0386,12/17/2014,1/21/2015,35
CVE-2015-0387,12/17/2014,1/21/2015,35
CVE-2015-0388,12/17/2014,1/21/2015,35
CVE-2015-0389,12/17/2014,1/21/2015,35
CVE-2015-0390,12/17/2014,1/21/2015,35
CVE-2015-0391,12/17/2014,1/21/2015,35
CVE-2015-0392,12/17/2014,1/21/2015,35
CVE-2015-0393,12/17/2014,1/21/2015,35
CVE-2015-0394,12/17/2014,1/21/2015,35
CVE-2015-0395,12/17/2014,1/21/2015,35
CVE-2015-0396,12/17/2014,1/21/2015,35
CVE-2015-0397,12/17/2014,1/21/2015,35
CVE-2015-0398,12/17/2014,1/21/2015,35
CVE-2015-0399,12/17/2014,1/21/2015,35
CVE-2015-0400,12/17/2014,1/21/2015,35
CVE-2015-0401,12/17/2014,1/21/2015,35
CVE-2015-0402,12/17/2014,1/21/2015,35
CVE-2015-0403,12/17/2014,1/21/2015,35
CVE-2015-0404,12/17/2014,1/21/2015,35
CVE-2015-0405,12/17/2014,4/16/2015,120
CVE-2015-0406,12/17/2014,1/21/2015,35
CVE-2015-0407,12/17/2014,1/21/2015,35
CVE-2015-0408,12/17/2014,1/21/2015,35
CVE-2015-0409,12/17/2014,1/21/2015,35
CVE-2015-0410,12/17/2014,1/21/2015,35
CVE-2015-0411,12/17/2014,1/21/2015,35
CVE-2015-0412,12/17/2014,1/21/2015,35
CVE-2015-0413,12/17/2014,1/21/2015,35
CVE-2015-0414,12/17/2014,1/21/2015,35
CVE-2015-0415,12/17/2014,1/21/2015,35
CVE-2015-0416,12/17/2014,1/21/2015,35
CVE-2015-0417,12/17/2014,1/21/2015,35
CVE-2015-0418,12/17/2014,1/21/2015,35
CVE-2015-0419,12/17/2014,1/21/2015,35
CVE-2015-0420,12/17/2014,1/21/2015,35
CVE-2015-0421,12/17/2014,1/21/2015,35
CVE-2015-0422,12/17/2014,1/21/2015,35
CVE-2015-0423,12/17/2014,4/16/2015,120
CVE-2015-0424,12/17/2014,1/21/2015,35
CVE-2015-0425,12/17/2014,1/21/2015,35
CVE-2015-0426,12/17/2014,1/21/2015,35
CVE-2015-0427,12/17/2014,1/21/2015,35
CVE-2015-0428,12/17/2014,1/21/2015,35
CVE-2015-0429,12/17/2014,1/21/2015,35
CVE-2015-0430,12/17/2014,1/21/2015,35
CVE-2015-0431,12/17/2014,1/21/2015,35
CVE-2015-0432,12/17/2014,1/21/2015,35
CVE-2015-0433,12/17/2014,4/16/2015,120
CVE-2015-0434,12/17/2014,1/21/2015,35
CVE-2015-0435,12/17/2014,1/21/2015,35
CVE-2015-0436,12/17/2014,1/21/2015,35
CVE-2015-0437,12/17/2014,1/21/2015,35
CVE-2015-0438,12/17/2014,4/16/2015,120
CVE-2015-0439,12/17/2014,4/16/2015,120
CVE-2015-0440,12/17/2014,4/16/2015,120
CVE-2015-0441,12/17/2014,4/16/2015,120
CVE-2015-0443,12/17/2014,7/16/2015,211
CVE-2015-0444,12/17/2014,7/16/2015,211
CVE-2015-0445,12/17/2014,7/16/2015,211
CVE-2015-0446,12/17/2014,7/16/2015,211
CVE-2015-0447,12/17/2014,4/16/2015,120
CVE-2015-0448,12/17/2014,4/16/2015,120
CVE-2015-0449,12/17/2014,4/16/2015,120
CVE-2015-0450,12/17/2014,4/16/2015,120
CVE-2015-0451,12/17/2014,4/16/2015,120
CVE-2015-0452,12/17/2014,4/16/2015,120
CVE-2015-0453,12/17/2014,4/16/2015,120
CVE-2015-0455,12/17/2014,4/16/2015,120
CVE-2015-0456,12/17/2014,4/16/2015,120
CVE-2015-0457,12/17/2014,4/16/2015,120
CVE-2015-0458,12/17/2014,4/16/2015,120
CVE-2015-0459,12/17/2014,4/16/2015,120
CVE-2015-0460,12/17/2014,4/16/2015,120
CVE-2015-0461,12/17/2014,4/16/2015,120
CVE-2015-0462,12/17/2014,4/16/2015,120
CVE-2015-0463,12/17/2014,4/16/2015,120
CVE-2015-0464,12/17/2014,4/16/2015,120
CVE-2015-0465,12/17/2014,4/16/2015,120
CVE-2015-0466,12/17/2014,4/16/2015,120
CVE-2015-0467,12/17/2014,7/16/2015,211
CVE-2015-0468,12/17/2014,7/16/2015,211
CVE-2015-0469,12/17/2014,4/16/2015,120
CVE-2015-0470,12/17/2014,4/16/2015,120
CVE-2015-0471,12/17/2014,4/16/2015,120
CVE-2015-0472,12/17/2014,4/16/2015,120
CVE-2015-0473,12/17/2014,4/16/2015,120
CVE-2015-0474,12/17/2014,4/16/2015,120
CVE-2015-0475,12/17/2014,4/16/2015,120
CVE-2015-0476,12/17/2014,4/16/2015,120
CVE-2015-0477,12/17/2014,4/16/2015,120
CVE-2015-0478,12/17/2014,4/16/2015,120
CVE-2015-0479,12/17/2014,4/16/2015,120
CVE-2015-0480,12/17/2014,4/16/2015,120
CVE-2015-0482,12/17/2014,4/16/2015,120
CVE-2015-0483,12/17/2014,4/16/2015,120
CVE-2015-0484,12/17/2014,4/16/2015,120
CVE-2015-0485,12/17/2014,4/16/2015,120
CVE-2015-0486,12/17/2014,4/16/2015,120
CVE-2015-0487,12/17/2014,4/16/2015,120
CVE-2015-0488,12/17/2014,4/16/2015,120
CVE-2015-0489,12/17/2014,4/16/2015,120
CVE-2015-0490,12/17/2014,4/16/2015,120
CVE-2015-0491,12/17/2014,4/16/2015,120
CVE-2015-0492,12/17/2014,4/16/2015,120
CVE-2015-0493,12/17/2014,4/16/2015,120
CVE-2015-0494,12/17/2014,4/16/2015,120
CVE-2015-0495,12/17/2014,4/16/2015,120
CVE-2015-0496,12/17/2014,4/16/2015,120
CVE-2015-0497,12/17/2014,4/16/2015,120
CVE-2015-0498,12/17/2014,4/16/2015,120
CVE-2015-0499,12/17/2014,4/16/2015,120
CVE-2015-0500,12/17/2014,4/16/2015,120
CVE-2015-0501,12/17/2014,4/16/2015,120
CVE-2015-0502,12/17/2014,4/16/2015,120
CVE-2015-0503,12/17/2014,4/16/2015,120
CVE-2015-0504,12/17/2014,4/16/2015,120
CVE-2015-0505,12/17/2014,4/16/2015,120
CVE-2015-0506,12/17/2014,4/16/2015,120
CVE-2015-0507,12/17/2014,4/16/2015,120
CVE-2015-0508,12/17/2014,4/16/2015,120
CVE-2015-0509,12/17/2014,4/16/2015,120
CVE-2015-0510,12/17/2014,4/16/2015,120
CVE-2015-0511,12/17/2014,4/16/2015,120
CVE-2015-0512,12/17/2014,2/1/2015,46
CVE-2015-0513,12/17/2014,1/21/2015,35
CVE-2015-0514,12/17/2014,1/21/2015,35
CVE-2015-0515,12/17/2014,1/21/2015,35
CVE-2015-0516,12/17/2014,1/21/2015,35
CVE-2015-0517,12/17/2014,2/14/2015,59
CVE-2015-0518,12/17/2014,2/14/2015,59
CVE-2015-0519,12/17/2014,2/14/2015,59
CVE-2015-0521,12/17/2014,3/12/2015,85
CVE-2015-0522,12/17/2014,3/12/2015,85
CVE-2015-0523,12/17/2014,3/12/2015,85
CVE-2015-0524,12/17/2014,3/12/2015,85
CVE-2015-0525,12/17/2014,3/12/2015,85
CVE-2015-0526,12/17/2014,6/22/2015,187
CVE-2015-0527,12/17/2014,3/23/2015,96
CVE-2015-0528,12/17/2014,3/29/2015,102
CVE-2015-0529,12/17/2014,4/4/2015,108
CVE-2015-0530,12/17/2014,4/16/2015,120
CVE-2015-0531,12/17/2014,5/6/2015,140
CVE-2015-0532,12/17/2014,5/1/2015,135
CVE-2015-0533,12/17/2014,8/20/2015,246
CVE-2015-0534,12/17/2014,8/20/2015,246
CVE-2015-0535,12/17/2014,8/20/2015,246
CVE-2015-0536,12/17/2014,8/20/2015,246
CVE-2015-0537,12/17/2014,8/20/2015,246
CVE-2015-0538,12/17/2014,5/6/2015,140
CVE-2015-0540,12/17/2014,5/25/2015,159
CVE-2015-0541,12/17/2014,6/5/2015,170
CVE-2015-0542,12/17/2014,8/20/2015,246
CVE-2015-0543,12/17/2014,7/5/2015,200
CVE-2015-0544,12/17/2014,7/5/2015,200
CVE-2015-0545,12/17/2014,6/29/2015,194
CVE-2015-0546,12/17/2014,6/17/2015,182
CVE-2015-0547,12/17/2014,7/4/2015,199
CVE-2015-0548,12/17/2014,7/4/2015,199
CVE-2015-0549,12/17/2014,6/28/2015,193
CVE-2015-0550,12/17/2014,6/28/2015,193
CVE-2015-0551,12/17/2014,7/4/2015,199
CVE-2015-0552,1/5/2015,1/15/2015,10
CVE-2015-0553,1/5/2015,1/21/2015,16
CVE-2015-0554,1/5/2015,1/21/2015,16
CVE-2015-0555,1/5/2015,2/24/2015,50
CVE-2015-0556,1/5/2015,4/8/2015,93
CVE-2015-0557,1/5/2015,4/8/2015,93
CVE-2015-0559,1/6/2015,1/9/2015,3
CVE-2015-0560,1/6/2015,1/9/2015,3
CVE-2015-0561,1/6/2015,1/9/2015,3
CVE-2015-0562,1/6/2015,1/9/2015,3
CVE-2015-0563,1/6/2015,1/9/2015,3
CVE-2015-0564,1/6/2015,1/9/2015,3
CVE-2015-0568,1/7/2015,8/7/2016,578
CVE-2015-0569,1/7/2015,5/9/2016,488
CVE-2015-0570,1/7/2015,5/9/2016,488
CVE-2015-0571,1/7/2015,5/9/2016,488
CVE-2015-0572,1/7/2015,10/10/2016,642
CVE-2015-0573,1/7/2015,8/7/2016,578
CVE-2015-0577,1/7/2015,1/14/2015,7
CVE-2015-0578,1/7/2015,1/14/2015,7
CVE-2015-0579,1/7/2015,1/14/2015,7
CVE-2015-0580,1/7/2015,2/11/2015,35
CVE-2015-0581,1/7/2015,1/28/2015,21
CVE-2015-0582,1/7/2015,1/9/2015,2
CVE-2015-0583,1/7/2015,1/14/2015,7
CVE-2015-0584,1/7/2015,2/19/2015,43
CVE-2015-0586,1/7/2015,1/28/2015,21
CVE-2015-0588,1/7/2015,1/15/2015,8
CVE-2015-0589,1/7/2015,2/7/2015,31
CVE-2015-0590,1/7/2015,1/17/2015,10
CVE-2015-0591,1/7/2015,1/15/2015,8
CVE-2015-0592,1/7/2015,2/11/2015,35
CVE-2015-0593,1/7/2015,2/12/2015,36
CVE-2015-0594,1/7/2015,2/26/2015,50
CVE-2015-0595,1/7/2015,2/1/2015,25
CVE-2015-0596,1/7/2015,2/1/2015,25
CVE-2015-0597,1/7/2015,2/1/2015,25
CVE-2015-0598,1/7/2015,3/5/2015,57
CVE-2015-0599,1/7/2015,2/3/2015,27
CVE-2015-0600,1/7/2015,2/7/2015,31
